model_name,total_false_positive,total_false_negative,total_true_positive,total_true_negative
gemini-1.5-flash-8b-small.csv,89,47,8,757
llama3-groq-70b-small.csv,179,49,6,676
gemma-7b-it-small.csv,195,28,27,678
mixtral-8x7b-32768-small.csv,136,31,24,710
Qwen2.5-72B-Instruct-small.csv,118,38,17,729
gpt-4o-small.csv,52,39,16,760
Qwen2.5-Coder-32B-Instruct-small.csv,105,29,26,732
gemma2-9b-it-small.csv,56,42,9,732
gpt-4o-mini-small.csv,51,39,16,760
claude-3.5-sonnet-small.csv,53,27,28,760
claude-3-5-haiku-small.csv,64,37,18,743
llama3-8b-8192-small.csv,139,43,12,724
finetuned-small.csv,112,33,22,730
finetuned-large.csv,144,92,50,647
gpt-4o-large.csv,86,197,78,520
gpt-4o-mini-large.csv,632,131,144,269
claude-3-5-haiku-large.csv,49,217,58,529
claude-3.5-sonnet-large.csv,64,214,61,546
gemini-1.5-flash-8b-large.csv,257,188,87,443
