App,TestFilePath,ProductionFilePath,TestFileCode,ProductionFileCode,present_smells,found_smells,false_positive,false_negative,true_positive,true_negative
9727_27.0_querydsl_roojpaentity,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/9727_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/9727_actual.java,"package com.querydsl.apt.domain;

import static org.junit.Assert.assertNotNull;

import org.junit.Test;

public class RooEntitiesTest {

    @Test
    public void rooJpaEntity() {
        assertNotNull(QRooEntities_MyEntity.myEntity);
    }

    @Test
    public void rooJpaActiveRecord() {
        assertNotNull(QRooEntities_MyEntity2.myEntity2);
    }

}
","package com.querydsl.apt.domain;

import javax.persistence.Id;
import javax.persistence.ManyToOne;

import org.springframework.roo.addon.jpa.activerecord.RooJpaActiveRecord;
import org.springframework.roo.addon.jpa.entity.RooJpaEntity;

public class RooEntities {

    @RooJpaEntity
    public static class MyEntity {

        @Id
        Long id;

        String name;

        @ManyToOne
        MyEntity entity;
    }

    @RooJpaActiveRecord
    public static class MyEntity2 {

        @Id
        Long id;

        String name;

        @ManyToOne
        MyEntity entity;
    }

}
",[],[],0,0,0,17
43482_17.0_fastjson_test_for_issue,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/43482_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/43482_actual.java,"package com.alibaba.json.bvt.bug;

import org.junit.Assert;

import junit.framework.TestCase;

import com.alibaba.fastjson.JSON;

public class Issue89 extends TestCase {

    public void test_for_issue() throws Exception {
        Exception error = null;
        try {
            JSON.parse(""{\""a\"":з」∠)_,\""}"");
        } catch (Exception ex) {
            error = ex;
        }
        Assert.assertNotNull(error);
    }
}
","package com.alibaba.json.bvt.bug;

import org.junit.Assert;

import junit.framework.TestCase;

import com.alibaba.fastjson.JSON;

public class Issue89 extends TestCase {

    public void test_for_issue() throws Exception {
        Exception error = null;
        try {
            JSON.parse(""{\""a\"":з」∠)_,\""}"");
        } catch (Exception ex) {
            error = ex;
        }
        Assert.assertNotNull(error);
    }
}
",['Exception Catching Throwing'],['Exception Handling'],1,1,0,16
1905_47.0_rxjava2-extras_testsettotrue,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/1905_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/1905_actual.java,"package com.github.davidmoten.rx2;

import static org.junit.Assert.assertTrue;

import java.util.concurrent.atomic.AtomicBoolean;

import org.junit.Test;

import com.github.davidmoten.junit.Asserts;

public class ActionsTest {

    @Test
    public void testSetToTrue() throws Exception {
        AtomicBoolean b = new AtomicBoolean();
        Actions.setToTrue(b).run();
        assertTrue(b.get());
    }

    @Test
    public void testIsUtility() {
        Asserts.assertIsUtilityClass(Actions.class);
    }

}
","package com.github.davidmoten.rx2;

import java.util.concurrent.atomic.AtomicBoolean;
import java.util.concurrent.atomic.AtomicInteger;

import io.reactivex.functions.Action;

public final class Actions {

    private Actions() {
        // prevent instantiation
    }

    public static Action setToTrue(final AtomicBoolean b) {
        return new Action() {

            @Override
            public void run() throws Exception {
                b.set(true);
            }

        };
    }

    public static Action throwing(final Exception e) {
        return new Action() {

            @Override
            public void run() throws Exception {
                throw e;
            }

        };
    }

    public static Action doNothing() {
        return DoNothingHolder.DO_NOTHING;
    }

    private static final class DoNothingHolder {
        static final Action DO_NOTHING = new Action() {
            @Override
            public void run() throws Exception {
                // do nothing!
            }
        };
    }

    public static Action increment(final AtomicInteger x) {
        //TODO make holder
        return new Action() {

            @Override
            public void run() throws Exception {
                x.incrementAndGet();
            }
        };
    }

}
",[],[],0,0,0,17
44330_17.0_fastjson_test_for_issue,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44330_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/44330_actual.java,"package com.alibaba.json.bvt.issue_1300;

import com.alibaba.fastjson.JSONObject;
import junit.framework.TestCase;

/**
 * Created by wenshao on 03/08/2017.
 */
public class Issue1362 extends TestCase {
    public void test_for_issue() throws Exception {
        JSONObject object = new JSONObject();
        object.put(""val"", ""null"");
        assertEquals(0D, object.getDoubleValue(""val""));
        assertEquals(0F, object.getFloatValue(""val""));
        assertEquals(0, object.getIntValue(""val""));
        assertEquals(0L, object.getLongValue(""val""));
        assertEquals((short) 0, object.getShortValue(""val""));
        assertEquals((byte) 0, object.getByteValue(""val""));
        assertEquals(false, object.getBooleanValue(""val""));
    }
}
","package com.alibaba.json.bvt.issue_1300;

import com.alibaba.fastjson.JSONObject;
import junit.framework.TestCase;

/**
 * Created by wenshao on 03/08/2017.
 */
public class Issue1362 extends TestCase {
    public void test_for_issue() throws Exception {
        JSONObject object = new JSONObject();
        object.put(""val"", ""null"");
        assertEquals(0D, object.getDoubleValue(""val""));
        assertEquals(0F, object.getFloatValue(""val""));
        assertEquals(0, object.getIntValue(""val""));
        assertEquals(0L, object.getLongValue(""val""));
        assertEquals((short) 0, object.getShortValue(""val""));
