test_method,isMysteryGuest
"@Test
    public void testGetFromUserResources() throws Throwable {
        Path testXenonImagesPath = Files.createTempDirectory(""test-xenon-images"");

        HostInitCommonServiceConfig.startServices(host);
        waitForServiceAvailability(ConfigurationFactoryService.SELF_LINK);
        waitForServiceAvailability(UriUtils.buildUriPath(UriUtils.buildUriPath(
                ConfigurationFactoryService.SELF_LINK, FileUtil.USER_RESOURCES_PATH_VARIABLE)));

        // Set expected configuration
        ConfigurationState config = new ConfigurationState();
        config.documentSelfLink = UriUtils.buildUriPath(ConfigurationFactoryService.SELF_LINK,
                FileUtil.USER_RESOURCES_PATH_VARIABLE);
        config.key = FileUtil.USER_RESOURCES_PATH_VARIABLE;
        config.value = testXenonImagesPath.toAbsolutePath().toString();

        doPut(config);

        File imageDir = new File(UriUtils.buildUriPath(testXenonImagesPath.toString(),
                SystemImageRetrievalManager.SYSTEM_IMAGES_PATH));
        imageDir.mkdir();

        byte[] content = IOUtils.toByteArray(Thread.currentThread().getContextClassLoader()
                .getResourceAsStream(TEST_IMAGE));
        // Basically, rename it so it must be loaded from user resources for sure
        File tmpFile = new File(
                UriUtils.buildUriPath(imageDir.getAbsolutePath(), TEST_IMAGE_RES));
        tmpFile.createNewFile();
        try (OutputStream os = new FileOutputStream(tmpFile)) {
            os.write(content);
        }",1
"@Test
    public void testValidateServicesAreDeployedFirst() throws Throwable {
        String wordpressTemplate = CommonTestStateFactory
                .getFileContent(""WordPress_with_MySQL_kubernetes.yaml"");

        String compositeDescriptionLink = importTemplate(wordpressTemplate);

        CompositeDescription compositeDescription = getCompositeDescription(
                compositeDescriptionLink);

        CompositeComponent compositeComponent = new CompositeComponent();
        compositeComponent.name = compositeDescription.name + ""-mcm-102"";
        compositeComponent.compositeDescriptionLink = compositeDescription.documentSelfLink;
        compositeComponent.customProperties = new HashMap<>();
        compositeComponent.customProperties.put(CUSTOM_PROPERTY_HOST_LINK,
                kubernetesHostState.documentSelfLink);
        compositeComponent = doPost(compositeComponent, CompositeComponentFactoryService.SELF_LINK);

        addPodsAndReplicaSetsForWordpressApp(extractId(compositeComponent.documentSelfLink));

        provisioningTaskLink = createProvisioningTask();

        ApplicationRequest appRequest = createApplicationRequest(
                compositeComponent.documentSelfLink);

        doOperation(ManagementUriParts.ADAPTER_KUBERNETES_APPLICATION, appRequest);

        // wait for provisioning task stage to change to finish
        waitForPropertyValue(provisioningTaskLink, MockTaskState.class, ""taskInfo.stage"",
                TaskState.TaskStage.FINISHED);

        assertEquals(10, service.deployedElements.size());

        List<BaseKubernetesObject> kubernetesElements = new ArrayList<>();
        service.deployedElements.forEach(e -> kubernetesElements.add(e));

        // Assert that services are deployed first.
        assertEquals(KubernetesUtil.SERVICE_TYPE, kubernetesElements.get(4).kind);
        assertEquals(KubernetesUtil.SERVICE_TYPE, kubernetesElements.get(5).kind);

        // Assert that states are created and they have correct compositeComponentLink.
        CompositeComponent finalCompositeComponent = compositeComponent;

        List<String> resourceLinks = getDocumentLinksOfType(ServiceState.class);
        assertEquals(2, resourceLinks.size());
        resourceLinks.forEach(link -> doOperation(Operation.createGet(host, link)
                .setCompletion((o, ex) -> {
                    if (ex != null) {
                        host.failIteration(ex);
                    }",1
"@Test
    public void testDefaultProjectCreatedOnStartUp() throws Throwable {
        waitForServiceAvailability(ProjectService.DEFAULT_PROJECT_LINK);

        ProjectState project = getDocument(ProjectState.class,
                ProjectService.DEFAULT_PROJECT_LINK);

        assertNotNull(project);
        assertEquals(ProjectService.DEFAULT_PROJECT_ID, project.name);
        assertEquals(ProjectService.DEFAULT_PROJECT_ID, project.id);
    }",1
"@Test
    public void testImportContentWithProjectAndUsers() throws Throwable {
        AuthContentBody body = Utils.fromJson(authContent, AuthContentBody.class);
        loadAuthContent(body);

        List<String> projectLinks = getDocumentLinksOfType(ProjectState.class);
        projectLinks.remove(ProjectService.DEFAULT_PROJECT_LINK);

        assertEquals(body.projects.size(), projectLinks.size());

        List<String> projectToImportNames = body.projects.stream()
                .map(p -> p.name)
                .collect(Collectors.toList());

        for (String link : projectLinks) {
            ProjectState state = getDocument(ProjectState.class, link);
            assertTrue(projectToImportNames.contains(state.name));
        }",1
"@Test
    public void testDeletePrincipalShouldDeleteUserState() throws Throwable {
        String fritzEmail = ""fritz@admiral.com"";
        String fritzSelfLink = LocalPrincipalFactoryService.SELF_LINK + ""/"" + encode(fritzEmail);

        doDelete(UriUtils.buildUri(host, fritzSelfLink), false);

        LocalPrincipalState state = getDocumentNoWait(LocalPrincipalState.class, fritzSelfLink);
        assertNull(state);

        UserState userState = getDocumentNoWait(UserState.class, buildUserServicePath(fritzEmail));
        assertNull(userState);

        ResourceGroupState resourceGroupState = getDocumentNoWait(ResourceGroupState.class,
                UriUtils.buildUriPath(ResourceGroupService.FACTORY_LINK, encode(fritzEmail)));
        assertNull(resourceGroupState);

        UserGroupState userGroupState = getDocumentNoWait(UserGroupState.class,
                UriUtils.buildUriPath(UserGroupService.FACTORY_LINK, encode(fritzEmail)));
        assertNull(userGroupState);

        RoleState roleState = getDocumentNoWait(RoleState.class,
                UriUtils.buildUriPath(RoleService.FACTORY_LINK, encode(fritzEmail)));
        assertNull(roleState);

    }",1
"@Test
    public void testUserSpecificResourceAreCreatedWhenUserIsCreated() throws Throwable {
        // Assert user specific UserGroup, ResourceGroup and Role are created.
        String fritzEmail = ""fritz@admiral.com"";
        String fritzSelfLink = LocalPrincipalFactoryService.SELF_LINK + ""/"" + encode(fritzEmail);

        LocalPrincipalState state = getDocumentNoWait(LocalPrincipalState.class, fritzSelfLink);
        assertNotNull(state);

        UserState userState = getDocumentNoWait(UserState.class, buildUserServicePath(fritzEmail));
        assertNotNull(userState);

        ResourceGroupState resourceGroupState = getDocumentNoWait(ResourceGroupState.class,
                UriUtils.buildUriPath(ResourceGroupService.FACTORY_LINK, encode(fritzEmail)));
        assertNotNull(resourceGroupState);

        UserGroupState userGroupState = getDocumentNoWait(UserGroupState.class,
                UriUtils.buildUriPath(UserGroupService.FACTORY_LINK, encode(fritzEmail)));
        assertNotNull(userGroupState);

        RoleState roleState = getDocumentNoWait(RoleState.class,
                UriUtils.buildUriPath(RoleService.FACTORY_LINK, encode(fritzEmail)));
        assertNotNull(roleState);
        assertEquals(userGroupState.documentSelfLink, roleState.userGroupLink);
        assertEquals(resourceGroupState.documentSelfLink, roleState.resourceGroupLink);
    }",1
"@Test
    public void testAssignRoleToUserGroup() throws Throwable {
        PrincipalRoleAssignment roleAssignment = new PrincipalRoleAssignment();
        roleAssignment.add = new ArrayList<>();
        roleAssignment.add.add(AuthRole.CLOUD_ADMIN.name());

        doRoleAssignment(roleAssignment, USER_GROUP_DEVELOPERS);

        RoleState roleState = getDocument(RoleState.class,
                UriUtils.buildUriPath(RoleService.FACTORY_LINK, AuthRole.CLOUD_ADMIN
                        .buildRoleWithSuffix(encode(USER_GROUP_DEVELOPERS))));
        assertNotNull(roleState);
        assertEquals(UriUtils.buildUriPath(UserGroupService.FACTORY_LINK,
                encode(USER_GROUP_DEVELOPERS)), roleState.userGroupLink);
    }",1
"@Test
    public void testAssignRoleToUserTwice() throws Throwable {
        PrincipalRoleAssignment roleAssignment = new PrincipalRoleAssignment();
        roleAssignment.add = new ArrayList<>();
        roleAssignment.add.add(AuthRole.CLOUD_ADMIN.name());

        // Assign.
        doRoleAssignment(roleAssignment, USER_EMAIL_BASIC_USER);

        UserState state = getDocument(UserState.class, buildUserServicePath(USER_EMAIL_BASIC_USER));
        assertNotNull(state);
        assertTrue(state.userGroupLinks.contains(CLOUD_ADMINS_USER_GROUP_LINK));

        // Unassign.
        roleAssignment = new PrincipalRoleAssignment();
        roleAssignment.remove = new ArrayList<>();
        roleAssignment.remove.add(AuthRole.CLOUD_ADMIN.name());

        doRoleAssignment(roleAssignment, USER_EMAIL_BASIC_USER);

        state = getDocument(UserState.class, buildUserServicePath(USER_EMAIL_BASIC_USER));
        assertNotNull(state);
        assertTrue(!state.userGroupLinks.contains(CLOUD_ADMINS_USER_GROUP_LINK));

        // Assign again.
        roleAssignment = new PrincipalRoleAssignment();
        roleAssignment.add = new ArrayList<>();
        roleAssignment.add.add(AuthRole.CLOUD_ADMIN.name());

        doRoleAssignment(roleAssignment, USER_EMAIL_BASIC_USER);

        state = getDocument(UserState.class, buildUserServicePath(USER_EMAIL_BASIC_USER));
        assertNotNull(state);
        assertTrue(state.userGroupLinks.contains(CLOUD_ADMINS_USER_GROUP_LINK));
    }",1
"@Test
    public void testGetAllRolesForPrincipalWithIndirectRoles() throws Throwable {
        host.assumeIdentity(buildUserServicePath(USER_EMAIL_ADMIN2));
        // Scenario: create a group which will contain Connie which is basic user and the group
        // will be assigned to cloud admins. Create nested groups and add Connie in them, assign
        // the nested groups to project roles. Verify that PrincipalRoles for Connie contains all
        // roles where he is assigned indirectly.

        // root is the group where Connie belongs and we assign the group to cloud admins role.
        LocalPrincipalState root = new LocalPrincipalState();
        root.type = LocalPrincipalType.GROUP;
        root.name = ""root"";
        root.groupMembersLinks = Collections.singletonList(UriUtils.buildUriPath(
                LocalPrincipalFactoryService.SELF_LINK, encode(USER_EMAIL_CONNIE)));
        root = doPost(root, LocalPrincipalFactoryService.SELF_LINK);
        assertNotNull(root.documentSelfLink);

        // nestedGroup1 is the group where Connie belongs but we will add nestedGroup1 to
        // nestedGroup2 and we will indirectly assign roles to Connie as we assign a role to
        // nestedGroup2.
        LocalPrincipalState nestedGroup1 = new LocalPrincipalState();
        nestedGroup1.type = LocalPrincipalType.GROUP;
        nestedGroup1.name = ""nestedGroup1"";
        nestedGroup1.groupMembersLinks = Collections.singletonList(UriUtils.buildUriPath(
                LocalPrincipalFactoryService.SELF_LINK, encode(USER_EMAIL_CONNIE)));
        nestedGroup1 = doPost(nestedGroup1, LocalPrincipalFactoryService.SELF_LINK);
        assertNotNull(nestedGroup1.documentSelfLink);

        // nestedGroup2 is the group which contains nestedGroup1
        LocalPrincipalState nestedGroup2 = new LocalPrincipalState();
        nestedGroup2.type = LocalPrincipalType.GROUP;
        nestedGroup2.name = ""nestedGroup2"";
        nestedGroup2.groupMembersLinks = Collections.singletonList(nestedGroup1.documentSelfLink);
        nestedGroup2 = doPost(nestedGroup2, LocalPrincipalFactoryService.SELF_LINK);
        assertNotNull(nestedGroup2.documentSelfLink);

        // assign cloud admins role to root user group.
        PrincipalRoleAssignment roleAssignment = new PrincipalRoleAssignment();
        roleAssignment.add = Collections.singletonList(AuthRole.CLOUD_ADMIN.name());
        doPatch(roleAssignment, UriUtils.buildUriPath(PrincipalService.SELF_LINK, root.id,
                PrincipalService.ROLES_SUFFIX));

        // Create first project and assign nestedGroup1 as project admin.
        ProjectState firstProject = createProject(""first-project"");
        assertNotNull(firstProject.documentSelfLink);
        ProjectRoles projectRoles = new ProjectRoles();
        PrincipalRoleAssignment admins = new PrincipalRoleAssignment();
        admins.add = Collections.singletonList(nestedGroup1.id);
        projectRoles.administrators = admins;
        doPatch(projectRoles, firstProject.documentSelfLink);

        // Create second project and assign nestedGroup2 as project member.
        ProjectState secondProject = createProject(""second-project"");
        assertNotNull(secondProject.documentSelfLink);
        projectRoles = new ProjectRoles();
        PrincipalRoleAssignment members = new PrincipalRoleAssignment();
        members.add = Collections.singletonList(nestedGroup2.id);
        projectRoles.members = members;
        doPatch(projectRoles, secondProject.documentSelfLink);

        URI uri = UriUtils.buildUri(host, PrincipalService.SELF_LINK);
        uri = UriUtils.extendUriWithQuery(uri, PrincipalService.CRITERIA_QUERY, ""connie"",
                PrincipalService.ROLES_QUERY, PrincipalService.ROLES_QUERY_VALUE);

        List<PrincipalRoles> resultRoles = new ArrayList<>();

        TestContext ctx = testCreate(1);

        Operation getRoles = Operation
                .createGet(uri)
                .setReferer(host.getUri())
                .setCompletion((o, ex) -> {
                    if (ex != null) {
                        ctx.failIteration(ex);
                        return;
                    }",1
"@Test
    public void testGetPublicProjectOnly() throws Throwable {
        ProjectState testProject1 = createProject(""test-project1"", ""test"", true);
        ProjectState testProject2 = createProject(""test-project2"", ""test"", true);
        ProjectState testProject3 = createProject(""test-project3"", ""test"", false);
        ProjectState testProject4 = createProject(""test-project4"", ""test"", false);
        assertDocumentExists(testProject1.documentSelfLink);
        assertDocumentExists(testProject2.documentSelfLink);
        assertDocumentExists(testProject3.documentSelfLink);
        assertDocumentExists(testProject4.documentSelfLink);

        host.assumeIdentity(buildUserServicePath(USER_EMAIL_BASIC_USER));

        URI uri = UriUtils.buildUri(ProjectFactoryService.SELF_LINK);
        uri = UriUtils.extendUriWithQuery(uri, ProjectFactoryService.QUERY_PARAM_PUBLIC, """");

        ServiceDocumentQueryResult getResult = getDocumentNoWait(ServiceDocumentQueryResult.class,
                uri.toString());

        assertEquals(Long.valueOf(2), getResult.documentCount);
        assertEquals(2, getResult.documentLinks.size());
        assertEquals(2, getResult.documents.size());
        assertTrue(getResult.documentLinks.contains(testProject1.documentSelfLink));
        assertTrue(getResult.documentLinks.contains(testProject2.documentSelfLink));
        assertTrue(!getResult.documentLinks.contains(testProject3.documentSelfLink));
        assertTrue(!getResult.documentLinks.contains(testProject4.documentSelfLink));
    }",1
