test_method,detected_smells
"@Test
    public void testCompareRunningContainerInUserNetworkWithDefaultPropertiesAndMatchedContainerStateShouldPass() {
        String networkName = ""test-network"";
        String ipv4 = ""172.100.0.100"";

        predefinedState.networks.put(networkName,
                createServiceNetwork(networkName, ipv4));
        addNetworkToInspectMap(predefinedInspectMap, networkName, ipv4);

        ContainerState mappedState = new ContainerState();
        ContainerStateMapper.propertiesToContainerState(mappedState, predefinedInspectMap);
        assertTrue(""predefined and mapped state should be equal"",
                areEqualContainerStates(predefinedState, mappedState));
    }",No Smells
"@Test
    public void testCreatedContainerShouldBeInspectedOnNetworkOperationFailure() throws Throwable {
        // delete provisioned containers
        removeContainer();
        // create a new state that has never been data collected
        createContainerState();

        // update the container state with a network that does not exist
        ServiceNetwork network = new ServiceNetwork();
        network.name = ""network"";
        ContainerState patch = new ContainerState();
        patch.networks = new HashMap<>();
        patch.networks.put(network.name, network);
        patchContainerState(patch);

        sendGetContainerStateRequest();
        assertNull(""Container ID should have been null before creation on host"", containerState.id);

        // This should fail on the attempt to connect the container to the network
        createContainer(true /* expect error */);

        // The createContainer method will verify that the id has been collected
    }",No Smells
"@Test
    public void testDeleteWithRetry() throws Throwable {
        // verify container is running
        verifyContainerIsRunning(true);
        assertEquals(""Unexpected PowerState in ContainerState"",
                PowerState.RUNNING, containerState.powerState);

        // simulate Docker host down
        tearDownMockDockerHost();

        sendDeleteContainerRequest();

        // wait for provisioning task stage to change to failed
        waitForPropertyValue(provisioningTaskLink, MockTaskState.class, ""taskInfo.stage"",
                TaskState.TaskStage.FAILED);

        // verify the operation was retried
        MockTaskState task = getDocument(MockTaskState.class, provisioningTaskLink);
        assertNotNull(task);
        assertNotNull(task.customProperties);
        assertEquals(Boolean.TRUE.toString(), task.customProperties.get(RETRIED_AFTER_FAILURE));
    }",No Smells
"@Test
    public void testInspectContainer() throws Throwable {
        sendInspectContainerRequest();

        // wait for request task stage to change to finish
        waitForPropertyValue(provisioningTaskLink, MockTaskState.class, ""taskInfo.stage"",
                TaskState.TaskStage.FINISHED);
    }",No Smells
"@Test
    public void testInspectContainerWithRetry() throws Throwable {
        // verify container is running
        verifyContainerIsRunning(true);
        assertEquals(""Unexpected PowerState in ContainerState"",
                PowerState.RUNNING, containerState.powerState);

        // simulate Docker host down
        tearDownMockDockerHost();

        sendInspectContainerRequest();

        // wait for provisioning task stage to change to failed
        waitForPropertyValue(provisioningTaskLink, MockTaskState.class, ""taskInfo.stage"",
                TaskState.TaskStage.FAILED);

        // verify the operation was retried
        MockTaskState task = getDocument(MockTaskState.class, provisioningTaskLink);
        assertNotNull(task);
        assertNotNull(task.customProperties);
        assertEquals(Boolean.TRUE.toString(), task.customProperties.get(RETRIED_AFTER_FAILURE));
    }",No Smells
"@Test
    public void testStatsDisabledWhenContainerStopped() throws Throwable {
        sendFetchContainerStatsRequest();

        // wait for request task stage to change to finish
        waitForPropertyValue(provisioningTaskLink, MockTaskState.class, ""taskInfo.stage"",
                TaskState.TaskStage.FINISHED);

        // stop the container
        sendStopContainerRequest();

        // wait for request task stage to change to finish
        waitForPropertyValue(provisioningTaskLink, MockTaskState.class, ""taskInfo.stage"",
                TaskState.TaskStage.FINISHED);

        // try to fetch the stats again and expect failure
        try {
            sendFetchContainerStatsRequest();
            fail(""Fetch stats is expected to fail"");
        }",No Smells
"@Test
    public void testHostPermanentlyNotAvailable() throws Throwable {
        ComputeState state = new ComputeState();
        state.powerState = PowerState.SUSPEND;
        Map<String, String> properties = new HashMap<>();
        properties.put(ContainerHostService.RETRIES_COUNT_PROP_NAME, ""2"");
        state.customProperties = properties;
        doOperation(state,
                UriUtils.buildUri(host, dockerHostState.documentSelfLink), false,
                Action.PATCH);
        waitFor(() -> {
            dockerHostState = retrieveDockerHostState();
            return PowerState.SUSPEND == dockerHostState.powerState;
        }",Eager Test
"@Test
    public void testHostPingWithResourceReference() throws Throwable {
        dockerHostState = requestDockerHostOperation(MockDockerPathConstants._PING,
                ContainerHostOperationType.PING);
    }",No Smells
"@Test
    public void testListContainersWithCallBack() throws Throwable {
        // Tests the following behaviour:
        // 1. There are 0 containers initially
        // 2. Create one and get the results again. There should be 1.
        host.log(Level.INFO, ""Started listing containers with callback."");
        assertListedEntitiesCount(0, ContainerHostOperationType.LIST_CONTAINERS, new ContainerItem());
        createEntity(MockDockerCreateContainerService.SELF_LINK, () -> {
            try {
                assertListedEntitiesCount(1, ContainerHostOperationType.LIST_CONTAINERS, new ContainerItem());
            }",No Smells
"@Test
    public void testListVolumesWithCallBack() throws Throwable {
        // Tests the following behaviour:
        // 1. There are 0 volumes initially
        // 2. Create one and get the results again. There should be 1.
        host.log(Level.INFO, ""Started listing volumes with callback."");
        assertListedEntitiesCount(0, ContainerHostOperationType.LIST_VOLUMES, new VolumeItem());
        createEntity(MockDockerCreateVolumeService.SELF_LINK, () -> {
            try {
                assertListedEntitiesCount(1, ContainerHostOperationType.LIST_VOLUMES, new VolumeItem());
            }",No Smells
